s8778 "01.01.2018 00:00";"7.4";"732.6";"756.2";"-0.4";"92";"Wind blowing from the south-southwest";"2";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"";"";"8.0";"6.2";"";"";"";"";"";"";
8777 "01.01.2018 01:00";"7.1";"732.4";"756.1";"-0.5";"87";"Wind blowing from the south-southwest";"3";"";"";"90  or more, but not 100%";"Mist. ";"Drizzle.";"Fog or ice fog or thick haze.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"8.0";"5.1";"Trace of precipitation";"6";"";"";"";"";
8776 "01.01.2018 02:00";"5.9";"732.1";"755.9";"-0.7";"92";"Wind blowing from the south-southeast";"4";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"8.0";"4.7";"";"";"";"";"";"";
8775 "01.01.2018 03:00";"5.0";"732.0";"755.8";"-0.6";"91";"Wind blowing from the south";"2";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"8.0";"3.7";"";"";"";"";"";"";
8774 "01.01.2018 04:00";"3.7";"731.5";"755.4";"-0.9";"94";"Wind blowing from the south-southeast";"2";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"2.8";"";"";"";"";"";"";
8773 "01.01.2018 05:00";"3.3";"731.3";"755.3";"-0.8";"94";"Wind blowing from the south-southeast";"3";"";"";"60%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"2.4";"";"";"";"";"";"";
8772 "01.01.2018 06:00";"2.8";"731.5";"755.5";"-0.5";"92";"Wind blowing from the south-southeast";"4";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"";"8.0";"1.6";"";"";"";"";"";"";
8771 "01.01.2018 07:00";"2.1";"731.7";"755.8";"0.2";"92";"Wind blowing from the south-southeast";"3";"";"";"90  or more, but not 100%";" ";"";"";"2.0";"7.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"14.0";"0.9";"Trace of precipitation";"12";"Surface of ground moist.";"1.0";"";"";
8770 "01.01.2018 08:00";"1.8";"731.8";"756.0";"0.5";"93";"Wind blowing from the east-southeast";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"12.0";"0.8";"";"";"";"";"";"";
8769 "01.01.2018 09:00";"2.4";"732.2";"756.3";"0.7";"91";"Wind blowing from the south-east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"12.0";"1.1";"";"";"";"";"";"";
